"cW" "cG" "cQ" "SS" "KGE"
"1" 231.459279265255 14902240.0796181 56.4145826511085 0.00158198701461282 0.45381699287082
"2" 265.969952498563 8074709.38859042 79.775700038299 0.00170016183132385 0.422253062362502
"3" 207.082954375073 235787.180438638 97.9598895064555 0.00264906173095876 0.186588702786588
"4" 296.568872849457 1258533.68232492 3.29390384722501 0.000983498254480514 0.474497422715583
"5" 237.345109763555 15559787.7483815 74.474148910027 0.00168631713965535 0.439547704574513
"6" 297.066498547792 1285041.64326005 92.4355048767757 0.00200509143966043 0.306197061525174
"7" 216.211172728799 16910576.4007894 38.8820828520693 0.00145620435518738 0.473838718082202
"8" 268.539164285176 12241151.3636354 76.4181706088129 0.00160841724036707 0.465281916488306
"9" 281.083485833369 5282725.76951422 38.8594943836797 0.00133952977045912 0.481126519333428
"10" 227.296572830528 9009661.74562927 24.7478566518985 0.00131230288691427 0.468516895516339
"11" 285.78520717565 1483637.64025271 60.794794362504 0.00179707616134388 0.341529385428772
"12" 246.395991183817 1771126.05269067 17.9137113881297 0.00139748440370646 0.389679293305246
"13" 290.41674437467 17239744.3253547 57.5191380262841 0.00135058741137949 0.561359121858773
"14" 210.451398021542 14328703.761613 47.9101665108465 0.00161990383338896 0.425188340684134
"15" 282.849465101026 8229473.66859298 96.0207635851111 0.00173179616814047 0.427563235091533
"16" 287.279317202047 3520517.97427703 25.5136049166322 0.00118656912900337 0.488505359389348
"17" 255.584739288315 14265802.4869626 74.373044223059 0.00162189017156629 0.461725800709082
"18" 291.157009080052 2837319.74225957 37.047481258167 0.00138512413411347 0.443329806462998
"19" 246.032768907025 4207119.81793866 67.2393738958053 0.00181015526208333 0.358696469333988
"20" 244.305363716558 4543866.24840554 51.4982868365478 0.00167690800350678 0.384105711825625
"21" 281.585066113621 6413025.91841668 16.7490028783213 0.000944222787790033 0.569189469319911
"22" 212.897026143037 9073584.33590271 50.5300470169168 0.00172317852844304 0.381505994977582
"23" 296.679272409528 11800157.0974709 83.9248630758375 0.00157410274080823 0.490321912361249
"24" 249.577544699423 19627512.8139881 40.7791105180513 0.00129535712657124 0.548822853416535
"25" 239.547281269915 19522752.8934134 93.9780413156841 0.0017605498002943 0.438605905192189
"26" 280.436168937013 3182498.25844541 20.2874505496584 0.00113856304458963 0.484722703282852
"27" 255.334975360893 13177228.1371523 29.5083904659841 0.00118021895474366 0.548241194866329
"28" 260.074256476946 10997623.4066999 61.8159086061642 0.00154804501861518 0.465672755800442
"29" 245.868032262661 1060692.79299118 1.58048731274903 0.00127013125833939 0.404200425504395
"30" 242.446464975365 16051903.2520242 10.6196926862467 0.000841019947477488 0.615106448122832
"31" 297.266141115688 19894151.9187531 11.965835117735 0.00070383768476965 0.740076940622985
"32" 238.36594321765 18818992.4302045 37.9814947538543 0.00131594651251196 0.530937693616275
"33" 271.87140500173 16014603.3995319 17.2150021004491 0.00087604033722999 0.645819166053518
"34" 226.022574747913 6166505.47301397 93.4077459173277 0.0020094055530804 0.321733347816549
"35" 226.144137675874 15085288.9291709 71.6600825628266 0.00172461932514668 0.421050581081947
"36" 235.367946117185 3493695.06738149 75.3008936482947 0.0019509840685635 0.320308015478283
"37" 201.980549306609 15378834.243468 97.553204667056 0.00199204586878384 0.347427145350883
"38" 245.456864964217 8037731.06138688 60.7666601231322 0.0016556272377839 0.415611588523989
"39" 292.128311120905 6148806.70451093 50.1508705338929 0.00140370184562485 0.486922184756109
"40" 280.168868624605 7621330.05114738 87.9323592847213 0.00170501727537806 0.427975678400583
"41" 261.285827565007 2174719.96480599 83.1916965469718 0.00196012185565416 0.318116658618131
"42" 241.033156588674 6594230.40617257 72.030422024196 0.00179438387156306 0.376406089122033
"43" 284.013042994775 14090023.9203125 91.7704810854048 0.00163588969924282 0.477241304753789
"44" 212.553938827477 18327661.8218981 94.3885528626852 0.00189194874026309 0.387098731519279
"45" 222.3035589559 2304132.09116086 39.0517208857927 0.00180318199412252 0.32370900474581
"46" 213.228810718283 15581483.977777 42.1669294778258 0.00152627837686317 0.451341037686829
"47" 262.990401056595 8994652.54168026 74.5844885809347 0.001661693267151 0.433447925401822
"48" 245.154568273574 12493420.6778649 39.1448076181114 0.00136675132197564 0.497145480582127
"49" 245.424646791071 14801340.3251069 67.25632363162 0.00160701520306647 0.459484417939282
"50" 261.031638784334 9408014.12926521 66.303936195327 0.00160311115327385 0.446379566779393
"51" 255.38967626635 18436626.5865741 31.110814708285 0.0011555509826738 0.579764229864509
"52" 231.248946255073 19583385.1754898 12.4923576612491 0.000908594191329118 0.60755520144331
"53" 263.600303349085 5389445.44959813 89.4021236232948 0.0018295222134622 0.376409106712718
"54" 235.783856012858 1498556.83713686 42.5119545962662 0.00184914658587572 0.313299904927783
"55" 289.196511078626 6132602.42580436 51.4541212057229 0.00142721209573032 0.479798243902754
"56" 273.175376397558 6962488.21923509 80.0634451876394 0.00169514427678794 0.421061927851289
