"d25" "d50" "d75"
"41" -11.9301760585415 -8.42883376266615 -7.97771651224282
"42" -12.18332568391 -8.67447754278953 -8.21884200976469
"43" -12.4278557184664 -8.91162717785127 -8.45014512816014
"44" -12.6644941758448 -9.14105494620909 -8.67263418570487
"45" -12.8938742774922 -9.3634241691086 -8.88715908642929
"46" -13.1165507547018 -9.55269845486155 -9.09444385355503
"47" -13.333012723031 -9.7354322178512 -9.29511108038364
"48" -13.5436939703977 -9.93253100246756 -9.48970061919568
"49" -13.7489812663694 -10.1238627383038 -9.67868408146069
"50" -13.9492211383516 -10.3098553765841 -9.86247623969606
"51" -14.1447254463849 -10.4908875707761 -10.04144410154
"52" -14.3357760066575 -10.6672962055856 -10.2159142102629
"53" -14.5226284545664 -10.839382516406 -10.3861785767097
"54" -14.7055154945323 -11.0074171079427 -10.5435669741299
"55" -14.8846496512584 -11.1716441040325 -10.6897321934063
"56" -15.0619652348688 -11.3340111182648 -10.8349344832525
"57" -14.2494689556877 -10.5076216508084 -9.98951716809224
"58" -13.8538614735781 -10.1002063931272 -9.55947024183179
"59" -14.0639988103234 -10.2991535286692 -9.73518762737122
"60" -14.2763081098662 -10.4997568143663 -9.91356312714237
"61" -14.4821606518399 -10.6935235757615 -10.0867387124534
"62" -14.5810996773925 -10.7802328386005 -10.1542377805599
"63" -14.3741018745902 -10.5615221259979 -9.91684468423789
"64" -12.9790921738626 -9.1585788646387 -8.49108624735311
"65" -11.1336809979505 -7.31890132707478 -6.61486109258415
"66" -11.4175053595169 -7.61820970368627 -6.87005488361492
"67" -11.689767990121 -7.90064942535431 -7.11357361303411
"68" -10.6782286352212 -6.90521714324867 -6.07596080563866
"69" -10.9823348390592 -7.23065718155982 -6.3567523592673
"70" -11.2726558293687 -7.5352501966723 -6.62257993780147
"71" -11.550727655133 -7.8222089521796 -6.87553223506868
"72" -11.8178246477333 -8.09401206078974 -7.11725170241851
"73" -12.0750178438111 -8.35261761951306 -7.34905830823227
"74" -12.3232175931338 -8.59960331003328 -7.57203217020233
"75" -12.5632053081497 -8.8362616471846 -7.78707068975022
"76" -12.7956575675046 -9.06366672554304 -7.99492922743206
"77" -12.3318585634298 -8.59595830637952 -7.50746116708298
"78" -12.0798818361887 -8.34331410260949 -7.24625549227854
"79" -11.9348966774902 -8.19968267707109 -7.09969964946534
"80" -12.1889797167472 -8.45445877128993 -7.35168543002997
"81" -12.4473579486746 -8.71093961158276 -7.60479732745786
"82" -12.7253454446676 -8.984668631284 -7.87332480458272
"83" -12.0917928093772 -8.34871520734684 -7.23355696267596
"84" -12.3174764925109 -8.57350091042876 -7.44999509371207
"85" -12.6157555005183 -8.86867449169051 -7.73907420075458
"86" -12.87889607571 -9.1267994557461 -7.99390249939129
